<TYPE>=CHROM
<LAB NAME>=SRI Instruments
<CLIENT>=Valued Customer
<CLIENT ID>=N2024
<COLLECTION DATE>=
<HOLDING TIME>=
<METHOD>=Syringe Injection
<LAB ID>=
<DESCRIPTION>=TCD-CHANNEL 2
<COLUMN>=RESTEK 15METER MXT-1
<CARRIER>=HELIUM AT 5 PSI
<TEMPERATURE>=
<EVENTS>=ch2.evt
<COMPONENTS>=CornellTCD.cpt
<SAMPLE>=RUN1
<OPERATOR>=
<QC BATCH>=
<CONDITIONS>=TYPE YOUR COMMENTS HERE
<DATE>= 8-17-2019
<TIME>=14:24:16
<RATE>=5Hz
<SIZE>=4800
<SAMP WEIGHT>=1.000000
<STD WEIGHT>=1.000000
<CONTROL FILENAME>=DEFAULT.CON
-13,-13
-15,5310
-12,10638
1,15976
21,21321
41,26666
66,32017
88,37364
106,42707
117,48043
117,53368
109,58685
96,63998
77,69304
52,74604
21,79898
-15,85187
-50,90477
-99,95754
290,101468
-38786,67717
-80104,31724
-106493,10660
-122479,0
-92440,29408
-56311,64907
-32825,87763
-18824,101134
-10568,108759
-5670,113027
-2758,115309
-1051,116386
-115,116691
310,116486
384,115930
208,115124
-133,114152
-590,113065
-1124,111901
-1704,110691
-2309,109455
-2920,108214
-3522,106982
-4118,105756
-4750,104493
-5552,103061
-6793,101190
-8732,98621
-11372,95350
-14445,91647
-17540,87922
-20266,84566
-22499,81702
-24312,79259
-25825,77116
-27122,75189
-28269,73411
-29298,71752
-30085,70335
-30290,69500
-29746,69413
-28529,70000
-26908,70991
-25353,71916
-24115,72524
-23202,72806
-22536,72842
-22043,72705
-21680,72438
-21408,72080
-21213,71644
-21076,71151
-20985,70612
-20932,70035
-20909,69428
-20909,68797
-20924,68152
-20945,67501
-20964,66852
-20977,66209
-20980,65576
-20976,64949
-20958,64337
-20932,63733
-20898,63137
-20856,62548
-20811,61963
-20761,61383
-20715,60799
-20669,60214
-20622,59631
-20575,59048
-20528,58465
-20482,57881
-20442,57290
-20404,56698
-20369,56103
-20331,55511
-20287,54924
-20242,54339
-20189,53762
-20132,53189
-20075,52616
-20013,52047
-19952,51478
-19894,50906
-19837,50333
-19784,49755
-19734,49175
-19687,48592
-19646,48003
-19611,47408
-19581,46807
-19557,46201
-19540,45588
-19526,44972
-19512,44355
-19501,43736
-19483,43124
-19462,42515
-19439,41908
-19409,41307
-19378,40708
-19344,40112
-19308,39518
-19275,38920
-19245,38320
-19219,37716
-19195,37110
-19176,36499
-19161,35883
-19151,35263
-19144,34640
-19142,34012
-19146,33377
-19152,32741
-19161,32102
-19166,31467
-19166,30837
-19162,30837
-19149,30847
-19135,30858
-19112,30878
-19089,30898
-19065,30919
-19038,30943
-19017,30961
-19001,30974
-18991,30981
-18988,30981
-18989,30976
-18992,30970
-19000,30959
-19012,30944
-19030,30923
-19047,30903
-19064,30883
-19077,30867
-19086,30855
-19091,30847
-19093,30842
-19090,30842
-19087,30841
-19081,30844
-19080,30842
-19082,30837
-19087,30829
-19098,30815
-19126,30784
-18731,31176
-25160,24744
-34076,15825
-42010,7888
-49324,571
-49078,-692
-45820,1058
-43117,2253
-41093,2769
-39453,2901
-37980,2865
-36562,2775
-35149,2680
-33735,2586
-32328,2485
-30936,2368
-29571,2225
-28240,2048
-26953,1827
-25718,1554
-24539,1224
-23420,835
-22358,389
-21354,-115
-20405,-674
-19505,-1283
-18656,-1942
-17852,-2646
-17087,-3389
-16361,-4171
-15662,0
-14988,109
-14346,186
-13731,236
-13150,252
-12604,233
-12088,184
-11601,106
-11143,0
-10711,-311
-10307,-649
-9930,-1014
-9582,-1409
-9254,-1823
-8943,-2254
-8647,0
-8354,24
-8070,39
-7794,46
-7521,50
-7260,42
-7007,26
-6764,0
-6533,-73
-6311,-155
-6098,-246
-5898,-350
-5710,-466
-5532,-591
-5361,-407
-5189,-222
-5013,-33
-4827,-63
-4626,-78
-4408,-76
-4172,105
-3921,301
-3660,507
-3396,716
-3137,920
-2897,1105
-2691,1256
-2524,1368
-2406,1431
-2336,1446
-2306,1421
-2316,1356
-2353,1264
-2411,1151
-2486,1021
-2568,884
-2659,738
-2749,593
-2829,458
-2900,332
-2952,225
-2989,133
-3011,56
-3019,0
-3013,18
-2996,47
-2970,85
-2940,127
-2908,171
-2880,211
-2852,252
-2828,288
-2806,322
-2789,351
-2776,376
-2768,396
-2764,412
-2762,427
-2759,442
-2750,463
-2740,485
-2722,515
-2699,550
-2673,589
-2638,636
-2602,684
-2565,733
-2529,781
-2494,828
-2466,868
-2438,909
-2414,945
-2395,976
-2383,1000
-2377,1018
-2376,1031
-2385,1034
-2396,1036
-2411,1033
-2427,1029
-2442,1026
-2453,1027
-2457,1035
-2457,1048
-2448,1069
-2434,1095
-2420,1121
-2407,1146
-2396,1169
-2388,1189
-2386,1204
-2387,1215
-2393,1221
-2405,1221
-2417,1221
-2437,1213
-2461,1202
-2488,1187
-2516,1171
-2539,1160
-2560,1151
-2573,1150
-2582,1154
-2579,1169
-2568,1192
-2550,1222
-2522,1262
-2493,1303
-2466,1343
-2439,1382
-2421,1412
-2401,1444
-2376,1481
-2343,1526
-2297,1585
-2231,1663
-2140,1766
-2024,1894
-1867,2063
-1664,2278
-1409,2546
-1094,2873
-729,3250
-320,3671
117,4120
563,4578
993,5021
1383,5423
1707,5759
1947,6011
2094,6170
2139,6227
2082,6183
1930,6043
1696,5821
1396,5533
1051,5200
673,4835
282,4456
-106,4080
-481,3717
-828,3382
-1141,3081
-1424,2811
-1667,2580
-1875,2384
-2048,2223
-2182,2101
-2289,2006
-2372,1936
-2437,1883
-2491,1841
-2532,1812
-2565,1791
-2593,1775
-2616,1765
-2640,1753
-2667,1738
-2697,1720
-2731,1698
-2763,1678
-2794,1660
-2818,1648
-2837,1641
-2857,1633
-2868,1634
-2874,1641
-2870,1657
-2854,1685
-2831,1720
-2805,1758
-2782,1793
-2761,1827
-2744,1856
-2733,1879
-2725,1899
-2727,1909
-2733,1916
-2741,1920
-2752,1921
-2769,1916
-2793,1904
-2821,1889
-2851,1871
-2876,1858
-2896,1850
-2911,1847
-2919,1852
-2914,1869
-2898,1897
-2877,1930
-2854,1965
-2835,1996
-2823,2020
-2817,2038
-2815,2053
-2822,2058
-2832,2060
-2842,2062
-2858,2058
-2873,2055
-2891,2049
-2915,2038
-2939,2026
-2970,2007
-2998,1991
-3021,1980
-3038,1975
-3047,1978
-3048,1990
-3045,2005
-3038,2024
-3026,2048
-3018,2068
-3011,2087
-3004,2107
-3001,2122
-2998,2137
-3000,2147
-3009,2150
-3024,2148
-3047,2137
-3077,2119
-3113,2095
-3150,2070
-3188,2045
-3216,2029
-3239,2018
-3255,2014
-3259,2022
-3261,2033
-3250,2056
-3231,2087
-3211,2119
-3186,2156
-3165,2189
-3150,2216
-3141,2238
-3138,2253
-3143,2260
-3155,2260
-3170,2257
-3191,2248
-3214,2237
-3240,2224
-3268,2208
-3293,2195
-3317,2183
-3334,2178
-3346,2178
-3348,2189
-3342,2207
-3327,2234
-3305,2268
-3277,2308
-3245,2352
-3218,2392
-3196,2426
-3181,2453
-3175,2471
-3173,2485
-3175,2495
-3184,2499
-3196,2499
-3217,2490
-3244,2475
-3275,2456
-3311,2432
-3347,2409
-3380,2388
-3408,2372
-3426,2366
-3436,2368
-3438,2379
-3435,2394
-3426,2415
-3410,2443
-3391,2474
-3366,2511
-3339,2551
-3310,2592
-3281,2633
-3253,2673
-3225,2713
-3197,2753
-3169,2794
-3138,2837
-3104,2883
-3065,2934
-3017,2994
-2959,3064
-2879,3157
-2774,3274
-2641,3419
-2476,3596
-2274,3810
-2033,4063
-1748,4361
-1414,4707
-1037,5096
-620,5525
-165,5992
