8,11.967,21.408,22.197,22.256,3.5831,0
9,11.999,22.11,22.467,22.035,3.516,0
10,12.031,22.801,22.734,21.817,3.4503,0
11,12.062,23.479,22.998,21.603,3.3862,0
12,12.092,24.145,23.26,21.394,3.3235,0
13,12.121,24.798,23.519,21.188,3.2623,0
14,12.149,25.44,23.776,20.987,3.2025,0
15,12.176,26.07,24.03,20.789,3.1442,0
16,12.202,26.687,24.281,20.595,3.0873,0
17,12.227,27.293,24.529,20.405,3.0318,0
18,12.251,27.886,24.775,20.219,2.9777,0
19,12.275,28.468,25.018,20.037,2.9251,0
20,12.297,29.038,25.258,19.858,2.8738,0
21,12.319,29.596,25.495,19.683,2.8239,0
22,12.34,30.143,25.729,19.512,2.7753,0
23,12.36,30.677,25.96,19.344,2.7282,0
24,12.379,31.2,26.188,19.18,2.6823,0
25,12.397,31.712,26.413,19.019,2.6378,0
26,12.414,32.212,26.636,18.862,2.5946,0
27,12.43,32.7,26.855,18.709,2.5527,0
28,12.446,33.177,27.071,18.559,2.5121,0
29,12.461,33.643,27.284,18.412,2.4728,0
30,12.475,34.098,27.493,18.269,2.4348,0
31,12.488,34.541,27.7,18.129,2.398,0
32,12.5,34.973,27.904,17.992,2.3625,0
33,12.511,35.394,28.104,17.859,2.3282,0
34,12.522,35.803,28.301,17.729,2.2951,0
35,12.532,36.202,28.495,17.602,2.2633,0
36,12.541,36.589,28.685,17.479,2.2327,0
37,12.549,36.966,28.872,17.358,2.2034,0
38,12.556,37.331,29.056,17.241,2.1752,0
39,12.563,37.686,29.237,17.127,2.1482,0
40,12.569,38.03,29.415,17.017,2.1225,0
41,12.574,38.362,29.589,16.909,2.098,0
42,12.578,38.684,29.76,16.805,2.0747,0
43,12.582,38.994,29.928,16.704,2.0526,0
44,12.584,39.294,30.092,16.606,2.0317,0
45,12.586,39.582,30.254,16.512,2.0121,0
46,12.587,39.86,30.412,16.421,1.9938,0
47,12.587,40.126,30.568,16.334,1.9768,0
48,12.587,40.38,30.72,16.25,1.961,0
49,12.585,40.623,30.87,16.169,1.9466,0
50,12.583,40.855,31.017,16.093,1.9336,0
51,12.579,41.074,31.161,16.02,1.922,0
52,12.575,41.281,31.302,15.951,1.9119,0
53,12.57,41.476,31.441,15.887,1.9033,0
54,12.564,41.658,31.578,15.827,1.8964,0
55,12.556,41.826,31.713,15.772,1.8912,0
56,12.548,41.98,31.846,15.721,1.8878,0
57,12.538,42.12,31.977,15.676,1.8863,0
58,12.527,42.245,32.107,15.637,1.8868,0
59,12.515,42.354,32.235,15.603,1.8895,0
60,12.501,42.447,32.361,15.575,1.8942,0
61,12.486,42.524,32.485,15.552,1.9009,0
62,12.47,42.588,32.605,15.533,1.9089,0
63,12.453,42.642,32.718,15.515,1.9178,0
64,12.436,42.697,32.811,15.483,1.9234,0
65,12.42,42.746,32.896,15.451,1.9291,0
66,12.404,42.791,32.976,15.419,1.9346,0
67,12.388,42.833,33.048,15.386,1.94,0
68,12.372,42.871,33.114,15.352,1.9452,0
69,12.356,42.906,33.174,15.317,1.9502,0
70,12.341,42.939,33.228,15.281,1.9548,0
71,12.326,42.971,33.275,15.244,1.9591,0
72,12.311,43.001,33.316,15.206,1.9631,0
73,12.297,43.029,33.351,15.168,1.9667,0
74,12.284,43.057,33.381,15.128,1.9699,0
75,12.271,43.084,33.404,15.088,1.9727,0
76,12.258,43.111,33.422,15.047,1.9752,0
77,12.246,43.136,33.435,15.005,1.9773,0
78,12.235,43.161,33.443,14.963,1.9792,0
79,12.224,43.185,33.446,14.921,1.9808,0
80,12.214,43.209,33.445,14.879,1.9821,0
81,12.204,43.231,33.439,14.837,1.9833,0
82,12.194,43.252,33.429,14.795,1.9842,0
83,12.185,43.271,33.415,14.754,1.9851,0
84,12.177,43.29,33.397,14.714,1.9859,0
85,12.169,43.306,33.376,14.674,1.9866,0
86,12.161,43.32,33.352,14.635,1.9873,0
87,12.154,43.333,33.325,14.597,1.9879,0
88,12.147,43.343,33.295,14.561,1.9886,0
89,12.14,43.352,33.262,14.525,1.9892,0
90,12.134,43.358,33.227,14.49,1.9898,0
91,12.127,43.361,33.189,14.457,1.9903,0
92,12.121,43.362,33.149,14.425,1.9909,0
93,12.116,43.36,33.107,14.394,1.9913,0
94,12.11,43.356,33.062,14.364,1.9918,0
95,12.104,43.348,33.015,14.335,1.9922,0
96,12.099,43.337,32.966,14.307,1.9925,0
97,12.093,43.323,32.915,14.28,1.9928,0
98,12.087,43.305,32.862,14.254,1.993,0
99,12.082,43.283,32.806,14.229,1.9932,0
100,12.076,43.257,32.749,14.205,1.9932,0
101,12.07,43.227,32.689,14.182,1.9932,0
102,12.064,43.193,32.627,14.159,1.9931,0
103,12.057,43.155,32.563,14.138,1.9929,0
104,12.051,43.112,32.496,14.116,1.9926,0
105,12.044,43.064,32.427,14.096,1.9921,0
106,12.037,43.012,32.356,14.076,1.9916,0
107,12.03,42.955,32.283,14.056,1.9909,0
108,12.022,42.893,32.208,14.036,1.9901,0
109,12.014,42.826,32.13,14.017,1.9892,0
110,12.006,42.755,32.051,13.998,1.9882,0
111,11.998,42.68,31.969,13.979,1.987,0
112,11.989,42.6,31.886,13.96,1.9857,0
113,11.98,42.516,31.801,13.941,1.9843,0
114,11.971,42.427,31.715,13.922,1.9827,0
115,11.962,42.335,31.627,13.903,1.9811,0
116,11.952,42.239,31.539,13.884,1.9793,0
117,11.943,42.14,31.449,13.865,1.9773,0
118,11.933,42.038,31.359,13.845,1.9753,0
119,11.923,41.933,31.268,13.825,1.9731,0
