8,11.865,20.794,23.101,22.935,3.7888,1.9044,84.387
34,12.741,37.864,27.529,16.475,1.8902,0.94706,97.445
60,12.51,42.72,33.226,15.998,1.9789,0.99075,107.42
86,12.073,43.013,33.275,14.407,1.9744,0.98817,105.73
112,12.096,43.415,32.221,14.071,2.0087,1.0051,104.82
138,11.646,39.101,29.27,13.364,1.9059,0.95357,96.24
164,11.971,38.911,29.341,13.213,1.8658,0.93339,96.235
190,12.359,40.521,30.89,14.422,1.8658,0.93339,100.99
